date_post;open_price
16/06/2016;125.169998
17/06/2016;123.260002
20/06/2016;122.260002
21/06/2016;121.650002
22/06/2016;120.830002
23/06/2016;120.489998
24/06/2016;126.620003
27/06/2016;126.440002
28/06/2016;125.559998
29/06/2016;125.910004
30/06/2016;125.949997
01/07/2016;127.660004
05/07/2016;128.800003
06/07/2016;130.5
07/07/2016;129.820007
08/07/2016;129.850006
11/07/2016;129.490005
12/07/2016;128.520004
13/07/2016;128
14/07/2016;126.309998
15/07/2016;126.379997
18/07/2016;127.019997
19/07/2016;126.949997
20/07/2016;125.5
21/07/2016;125.660004
22/07/2016;126.43
25/07/2016;125.529999
26/07/2016;126.089996
27/07/2016;126.790001
28/07/2016;128.089996
29/07/2016;128.419998
01/08/2016;128.570007
02/08/2016;130.039993
03/08/2016;129.949997
04/08/2016;130.009995
05/08/2016;128.460007
08/08/2016;127.290001
09/08/2016;127.940002
10/08/2016;129.119995
11/08/2016;128.610001
12/08/2016;127.669998
16/08/2016;128.119995
17/08/2016;128.169998
18/08/2016;128.889999
19/08/2016;128.080002
22/08/2016;127.629997
23/08/2016;128.139999
24/08/2016;126.919998
25/08/2016;125.980003
26/08/2016;126.879997
29/08/2016;126
30/08/2016;125.730003
31/08/2016;124.730003
01/09/2016;124.669998
02/09/2016;126.290001
06/09/2016;127.400002
07/09/2016;128.789993
08/09/2016;128.160004
09/09/2016;127.239998
12/09/2016;126.309998
13/09/2016;126.470001
14/09/2016;126.099998
15/09/2016;125.730003
16/09/2016;124.809998
19/09/2016;125.610001
20/09/2016;125.309998
21/09/2016;126.330002
22/09/2016;127.57
23/09/2016;127.599998
26/09/2016;127.959999
27/09/2016;126.860001
28/09/2016;126.25
29/09/2016;125.839996
30/09/2016;126.519997
03/10/2016;125.32
04/10/2016;123.160004
05/10/2016;121.330002
06/10/2016;119.690002
07/10/2016;120.489998
10/10/2016;119.739998
11/10/2016;119.919998
12/10/2016;119.720001
13/10/2016;120
14/10/2016;119.370003
17/10/2016;119.699997
18/10/2016;120.080002
19/10/2016;121.129997
20/10/2016;121.389999
21/10/2016;120.900002
24/10/2016;121.279999
25/10/2016;120.889999
26/10/2016;121.370003
27/10/2016;121.110001
28/10/2016;121.199997
01/11/2016;122.800003
02/11/2016;123.760002
03/11/2016;123.360001
04/11/2016;124.400002
07/11/2016;122.660004
08/11/2016;122.120003
09/11/2016;124.300003
10/11/2016;121.519997
14/11/2016;116.120003
15/11/2016;116.459999
16/11/2016;117.269997
17/11/2016;116.910004
18/11/2016;115.519997
21/11/2016;115.720001
22/11/2016;115.720001
23/11/2016;113.870003
25/11/2016;113.419998
28/11/2016;113.230003
29/11/2016;112.760002
30/11/2016;112.690002
01/12/2016;111.110001
02/12/2016;111.889999
05/12/2016;111.150002
06/12/2016;111.690002
07/12/2016;112.129997
08/12/2016;111.720001
09/12/2016;111.18
12/12/2016;110.589996
13/12/2016;110.57
14/12/2016;110.949997
15/12/2016;107.849998
16/12/2016;107.949997
19/12/2016;108.599998
20/12/2016;107.470001
21/12/2016;108.25
22/12/2016;107.68
23/12/2016;107.839996
27/12/2016;108.610001
28/12/2016;108.400002
29/12/2016;109.230003
30/12/2016;110.379997
03/01/2017;109.620003
04/01/2017;111.059998
05/01/2017;112.160004
06/01/2017;111.809998
09/01/2017;112.389999
10/01/2017;112.940002
11/01/2017;112.870003
12/01/2017;114.519997
13/01/2017;113.650002
17/01/2017;115.889999
18/01/2017;115.739998
19/01/2017;114.32
20/01/2017;114.650002
23/01/2017;115.510002
24/01/2017;115.690002
25/01/2017;114.139999
27/01/2017;112.93
30/01/2017;113.610001
31/01/2017;115.269997
01/02/2017;114.660004
02/02/2017;116.260002
03/02/2017;115.730003
06/02/2017;117.07
07/02/2017;117.309998
08/02/2017;118.089996
09/02/2017;118.190002
10/02/2017;116.68
13/02/2017;116.730003
14/02/2017;117.510002
15/02/2017;116.330002
16/02/2017;117.93
17/02/2017;118.190002
21/02/2017;117.040001
22/02/2017;117.860001
23/02/2017;118.760002
24/02/2017;119.739998
27/02/2017;119.730003
28/02/2017;119.709999
01/03/2017;117.980003
02/03/2017;117.760002
03/03/2017;116.949997
06/03/2017;117.349998
07/03/2017;116.129997
08/03/2017;114.989998
09/03/2017;114.779999
10/03/2017;114.449997
13/03/2017;114.629997
14/03/2017;114.540001
15/03/2017;114.290001
16/03/2017;117.269997
17/03/2017;117.040001
20/03/2017;117.309998
21/03/2017;117.769997
22/03/2017;118.870003
23/03/2017;119.150002
24/03/2017;118.5
27/03/2017;119.93
28/03/2017;119.739998
29/03/2017;119.220001
30/03/2017;118.769997
31/03/2017;118.610001
03/04/2017;118.690002
04/04/2017;119.589996
05/04/2017;118.620003
06/04/2017;119.220001
07/04/2017;120.300003
10/04/2017;119.040001
11/04/2017;120.330002
12/04/2017;121.379997
13/04/2017;122.540001
17/04/2017;122.550003
18/04/2017;122.43
19/04/2017;122.25
20/04/2017;121.82
21/04/2017;122.139999
24/04/2017;120.769997
25/04/2017;120.529999
26/04/2017;120.209999
27/04/2017;120.419998
28/04/2017;120.339996
01/05/2017;120.209999
02/05/2017;119.300003
03/05/2017;119.18
04/05/2017;116.809998
05/05/2017;116.860001
08/05/2017;117.029999
09/05/2017;116.18
10/05/2017;116.419998
11/05/2017;116.209999
12/05/2017;117.07
15/05/2017;117.519997
16/05/2017;117.449997
17/05/2017;119.360001
18/05/2017;119.769997
19/05/2017;119.389999
22/05/2017;119.629997
23/05/2017;120.129997
24/05/2017;119.07
25/05/2017;119.519997
26/05/2017;120.489998
30/05/2017;120.239998
31/05/2017;120.309998
01/06/2017;120.169998
02/06/2017;121.309998
05/06/2017;121.910004
06/06/2017;123.089996
07/06/2017;122.790001
08/06/2017;122.07
09/06/2017;120.459999
12/06/2017;120.330002
13/06/2017;119.949997
14/06/2017;121.510002
15/06/2017;119.220001
16/06/2017;119.349998
19/06/2017;118.739998
20/06/2017;118.419998
21/06/2017;118.150002
22/06/2017;119.129997
23/06/2017;119.650002
26/06/2017;118.290001
27/06/2017;118.870003
28/06/2017;119.059998
29/06/2017;117.970001
30/06/2017;118.080002
03/07/2017;116.540001
05/07/2017;115.910004
06/07/2017;116.580002
07/07/2017;115.779999
10/07/2017;115.019997
11/07/2017;115.260002
12/07/2017;116.209999
13/07/2017;116.040001
14/07/2017;117.040001
17/07/2017;117.419998
18/07/2017;117.989998
19/07/2017;118.18
20/07/2017;117.919998
21/07/2017;119
24/07/2017;119.519997
25/07/2017;118.989998
26/07/2017;118.57
27/07/2017;120.099998
28/07/2017;120.150002
31/07/2017;120.5
01/08/2017;120.440002
02/08/2017;120.510002
03/08/2017;120.309998
04/08/2017;119.970001
07/08/2017;119.43
08/08/2017;120.019997
09/08/2017;121.019997
10/08/2017;122.080002
11/08/2017;122.239998
14/08/2017;121.980003
16/08/2017;120.660004
17/08/2017;122.290001
18/08/2017;123.370003
21/08/2017;122.540001
22/08/2017;122.559998
23/08/2017;122.580002
24/08/2017;122.389999
25/08/2017;122.769997
28/08/2017;123.330002
29/08/2017;125.809998
30/08/2017;124.330002
31/08/2017;124.580002
01/09/2017;126.010002
05/09/2017;126.650002
06/09/2017;127.339996
07/09/2017;127.559998
